Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Dec 23 2020,23127.0,23135.0,22806.9883,23127.0,23127.0,-
Dec 22 2020,23120.0,23134.0,22673.5508,23120.0,23120.0,-
Dec 21 2020,23124.0,23125.0,22911.166,23124.0,23124.0,-
Dec 18 2020,22767.7695,23124.0,22767.7695,23120.0,23120.0,-
Dec 17 2020,23126.0,23126.0,22805.0742,23126.0,23126.0,-
Dec 16 2020,23126.0,23127.0,22802.2402,23126.0,23126.0,-
Dec 15 2020,23126.0,23127.0,22789.6816,23126.0,23126.0,-
Dec 14 2020,23177.0,23177.0,22802.7148,23128.0,23128.0,-
Dec 11 2020,23177.0,23177.0,22804.6875,23128.0,23128.0,-
Dec 10 2020,22857.6152,23130.0,22808.1797,23128.0,23128.0,-
Dec 9 2020,23128.0,23130.0,22786.9727,23128.0,23128.0,-
Dec 8 2020,23127.0,23130.0,22785.0918,23127.0,23127.0,-
Dec 7 2020,23130.0,23130.0,22806.127,23130.0,23130.0,-
Dec 4 2020,23125.0,23130.0,22777.4102,23125.0,23125.0,-
Dec 3 2020,23129.0,23130.0,22683.1621,23129.0,23129.0,-
Dec 2 2020,23129.0,23131.0,22609.8203,23129.0,23129.0,-
Dec 1 2020,23140.0,23140.0,22801.4902,23140.0,23140.0,-
Nov 30 2020,23177.0,23177.0,22743.1309,23160.0,23160.0,-
Nov 27 2020,23164.0,23180.0,22807.8125,23164.0,23164.0,-
Nov 26 2020,23160.0,23164.0,22744.5957,23160.0,23160.0,-
Nov 25 2020,23151.0,23165.0,22755.9043,23151.0,23151.0,-
Nov 24 2020,22960.9805,23170.0,22815.3477,23177.0,23177.0,-
Nov 23 2020,23176.0,23182.0,22851.0918,23176.0,23176.0,-
Nov 20 2020,23176.0,23182.0,22764.8359,23176.0,23176.0,-
Nov 19 2020,23160.0,23176.0,22839.8379,23160.0,23160.0,-
Nov 18 2020,23163.0,23176.0,22838.3887,23163.0,23163.0,-
Nov 17 2020,23175.0,23176.0,22776.9023,23175.0,23175.0,-
Nov 16 2020,23175.0,23176.0,22807.6699,23175.0,23175.0,-
Nov 13 2020,22841.875,23180.0,22841.875,23175.0,23175.0,-
Nov 12 2020,22808.7891,23175.0,22808.7891,23175.0,23175.0,-
Nov 11 2020,23173.0,23175.0,22786.9609,23173.0,23173.0,-
Nov 10 2020,23170.0,23175.0,22823.9199,23170.0,23170.0,-
Nov 9 2020,23176.0,23176.0,22859.9805,23176.0,23176.0,-
Nov 6 2020,23175.0,23180.0,22829.8281,23175.0,23175.0,-
Nov 5 2020,23175.0,23177.0,23175.0,23176.0,23176.0,-
Nov 4 2020,22876.8984,23177.0,22819.457,23176.0,23176.0,-
Nov 3 2020,23177.0,23177.0,22833.9102,23177.0,23177.0,-
Nov 2 2020,23177.0,23177.0,22836.1504,23180.0,23180.0,-
Oct 30 2020,22877.6348,23180.0,22836.584,23170.0,23170.0,-
Oct 29 2020,23176.0,23181.0,22794.8125,23176.0,23176.0,-
